Rule;Pair;Start Date;End Date;Timeframe;Profit;Leverage Profit;Ratio;Ratio Shorts;Ratio Longs;High;Low;Transactions;Leverage
test21;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;-1,289%;-7,848%;0.6296296296296297;0.5714285714285714;0.8333333333333334;-0,278%;-17,806%;55;5
test22;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;-2,086%;-11,214%;0.5555555555555556;0.4166666666666667;0.8333333333333334;6,140%;-18,891%;37;5
test23;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;-1,069%;-7,004%;0.6129032258064516;0.5769230769230769;0.8;9,865%;-14,282%;63;5
test24;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;1,945%;8,805%;0.7142857142857143;0.6;1;8,805%;-10,558%;43;5
test25;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;1,328%;5,081%;0.6774193548387096;0.6153846153846154;1;13,332%;-8,206%;63;5
test26;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;0,615%;1,406%;0.6666666666666666;0.6;1;9,691%;-11,108%;61;5
test27;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;-1,589%;-8,613%;0.5714285714285714;0.2857142857142857;0.8571428571428571;3,057%;-17,698%;29;5
test28;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;-0,626%;-4,083%;0.625;0.5;1;5,529%;-14,328%;33;5
test29;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;2,211%;10,451%;0.7222222222222222;0.5833333333333334;1;10,451%;-10,949%;37;5
test30;BTCUSDT;Thu Jul 01 2021 16:29:30 GMT+0200 (Mitteleuropäische Sommerzeit);Sun Jul 04 2021 18:26:33 GMT+0200 (Mitteleuropäische Sommerzeit);3;-0,912%;-6,265%;0.625;0.56;0.8571428571428571;8,099%;-16,452%;65;5
